question,answer
¿Qué aspectos se deben tener en cuenta en la gestión de proyectos relacionados con la producción de espectáculos en vivo?,"Se deben considerar aspectos como la viabilidad económica, presupuestos, fuentes de financiación, organigramas de equipos de trabajo, diagramas de PERT y GANTT, entre otros."
¿Qué se dicta de conformidad con el art. 3.3 mencionado en el texto?,Se dicta la creación de la comisión de explotación del trasvase.
¿Qué cuestión se plantea en el documento BOE-A-2012-13842 en relación con la Ley de Cantabria 2/2011?,"Se plantea una cuestión de inconstitucionalidad en relación con el artículo 2 de la Ley de Cantabria 2/2011, por posible vulneración de varios artículos de la Constitución."
¿Qué prohíbe el Reglamento (UE) nº 1233/2012 de la Comisión?,Prohíbe la pesca de rayas en aguas de la UE de VIId por parte de los buques que enarbolan pabellón de los Países Bajos.
¿Qué disposición ha dejado de estar vigente según el texto?,La disposición mencionada en el texto ha dejado de estar vigente.
¿Qué temas se mencionan en el texto?,"Se mencionan materias como el carbón, la cotización a la Seguridad Social, las minas y los regímenes especiales de la Seguridad Social."
¿Quiénes son los destinatarios de la Directiva mencionada en el texto?,Los Estados miembros
¿Qué indica el acta de ensayo cuando se utiliza un tambor de superficie texturada en lugar de lisa y de acero?,"Indicará la circunstancia de la textura de la superficie, que será de 180 μm de profundidad y el laboratorio será responsable de conservar las características relativas a la rugosidad de la superficie."
¿Qué se considera hipotecas titulizadas según la ley mencionada en el texto?,"Se consideran hipotecas titulizadas aquellos préstamos con garantía hipotecaria contratados por un consumidor con una entidad de crédito y cedidos a un fondo de titulización, de acuerdo a la normativa mencionada en el texto."
¿Qué se requiere para que un titular de una licencia de radioaficionado expedida por un país que acepta la licencia CEPT pueda hacer uso de su estación de aficionado durante su estancia temporal en España?,"Deberá haber obtenido la licencia de radioaficionado CEPT expedida por una Administración de un país, miembro o no de la CEPT, que acepte dicha licencia."
¿Qué palabras se mencionan en el texto?,"Materias, Agrios, Ayudas, España, Portugal, Precios"
¿Qué organismo creó la Decisión del Consejo de Administración de Europol de 4 de junio de 2009?,La Oficina Europea de Policía (Europol)
¿Qué contempla la Decisión 90/424/CEE del Consejo?,"La posibilidad de una participación financiera de la Comunidad en la erradicación y vigilancia de enfermedades animales, así como en los controles relativos a la prevención de las zoonosis."
¿Cuál es el nombre completo de la persona mencionada en el fragmento de texto?,Hafiz Abdul Salam Bhuttavi
¿Qué porcentaje máximo de cualquier mezcla de especies puede consistir una captura a bordo según el texto?,No más del 60 %
¿Qué reglamento de la Comisión se menciona en el texto y cuál es su propósito?,"El Reglamento (CEE) núm. 711/93 de la Comisión, de 25 de marzo de 1993, se menciona en el texto y su propósito es el restablecimiento de la recaudación de los derechos arancelarios aplicables a los productos de la categoría núm. 9 originarios de Indonesia, beneficiarios de preferencias arancelarias previstas por otro reglamento."
¿Cuál es la fecha de entrada en vigor de la disposición mencionada?,03/06/1987
¿Qué instituciones verificaron y autorizaron el plan de estudios del Máster en Planificación Territorial y Gestión Ambiental?,"El plan de estudios fue verificado por el Consejo de Universidades, con informe de la Agència per a la Qualitat del Sistema Universitari de Catalunya, y autorizado por la Comunidad Autónoma de Cataluña."
¿Qué tipo de compensación pueden percibir los becarios cuando se requiera realizar desplazamientos fuera del término municipal?,"Los becarios podrán percibir bolsas de viaje en compensación por los gastos de desplazamientos, estancias y manutención."
¿Qué organismo promovió el recurso de inconstitucionalidad número 1.297/1997?,El Presidente del Gobierno
