question,answer
¿Cuál es el objetivo del Reglamento (CEE) nº 1016/81 del Consejo?,El objetivo es modificar el Reglamento (CEE) nº 355/79 para establecer normas generales sobre la designación y presentación de vinos y mostos de uva.
¿Cuál es la finalidad de los servicios de promoción de la autonomía personal según el texto?,"La finalidad es desarrollar y mantener la capacidad personal de controlar, afrontar y tomar decisiones acerca de cómo vivir de acuerdo con las normas y preferencias propias, así como facilitar la ejecución de las actividades básicas de la vida diaria."
¿Qué se entenderá referido en las elecciones de Apoderados de las Juntas Generales de Vizcaya a la circunscripción electoral en la que el candidato tenga su residencia?,Se entenderán referidas las causas de inelegibilidad y los supuestos de incompatibilidad previstos en la Ley de Elecciones Locales.
¿Cuál es el objetivo principal del Reglamento (CEE) nº 1218/91 de la Comisión?,El objetivo principal es modificar el Reglamento (CEE) nº 863/91 relativo a la venta especial de mantequilla de intervención destinada a la exportación a la Unión Soviética y modificar el Reglamento (CEE) nº 569/88.
¿Qué hace el texto con respecto al Decreto 1158/1975?,"El texto DEROGA el Decreto 1158/1975, de 24 de abril."
¿Qué establece la disposición adicional segunda del Real Decreto 235/2013 en relación a los edificios nuevos?,"Establece que a más tardar el 31 de diciembre de 2020, los edificios nuevos serán edificios de consumo de energía casi nulo, definidos en la disposición adicional cuarta del Real Decreto 56/2016."
¿Qué prendas de uniforme debe facilitar la empresa al personal operativo cada dos años a partir del segundo año?,"La empresa debe facilitar dos camisas de verano, dos camisas de invierno, una corbata, dos chaquetillas, dos pantalones de invierno y dos de verano."
¿Quién fue nombrado como miembro del Comité Económico y Social en sustitución de Armand Colle?,Willy Waldack fue nombrado como miembro del Comité Económico y Social en sustitución de Armand Colle.
¿Cuál es la fecha de publicación del plan de estudios del Máster en Bioinformática / Bioinformatics de la Universidad Autónoma de Barcelona?,La fecha de publicación es el 11 de agosto de 2016.
¿Para qué tipo de vehículos espaciales están diseñados los receptores GPS mencionados en el texto?,Están diseñados para ser utilizados en las lanzaderas espaciales incluidas en el artículo 9A004 o en los cohetes de sondeo incluidos en el artículo 9A104.
¿Qué establece la Orden del Ministerio de Industria y Energía de 16 de julio de 1998 en relación a los precios máximos de venta de los gases licuados del petróleo?,"Establece el sistema de determinación automática de los precios máximos aplicables a los suministros de los gases licuados del petróleo, y en particular al suministro por canalización."
¿Qué regirá al Colegio Vasco de Economistas resultante de la unificación hasta la aprobación y vigencia de sus nuevos estatutos?,Un reglamento provisional aprobado por todas las juntas de gobierno de los colegios anteriores afectados.
¿Qué asignatura de Economía se cursa en el segundo año de la carrera?,Se cursa Macroeconomía en el segundo año de la carrera.
"¿Qué regula el Decreto 3326/1965, de 28 de octubre?",Regula las actividades en materia de hemoterapia.
¿Cuál es el precio de venta al público de las Picaduras de liar JPS Red (200 g)?,"El precio de venta al público de las Picaduras de liar JPS Red (200 g) es de 8,00 euros."
¿Qué compañías se fusionaron el 1 de abril de 1993?,Jujo y Sanyo-Kokusaku se fusionaron en una sola compañía llamada Nippon Paper Industries Company Limited.
¿Cuál es el objetivo de la Orden sobre normas de calidad comercial que regulan el comercio exterior de las conservas de sardinas?,El objetivo es establecer normas de calidad que regulen el comercio exterior de las conservas de sardinas.
¿Cuál es el propósito de la corrección de erratas de la Ley 2/1984 sobre utilización de inmuebles enajenados por el Instituto Catalán del Suelo?,El propósito de la corrección de erratas es rectificar errores en la inserción de la Ley para garantizar el cumplimiento de la función social de destinar los inmuebles a vivienda.
¿Qué establece la Orden HAC/124/2004 sobre los índices de precios de mano de obra y materiales?,"La Orden HAC/124/2004 establece los índices de precios de mano de obra y materiales correspondientes a los meses de julio, agosto y septiembre de 2003, aplicables a la revisión de precios de contratos de las Administraciones Públicas."
¿Qué tipo de empresas fueron beneficiadas por la Orden de 8 de febrero de 1966?,Determinadas Empresas acogidas a los beneficios del Plan Jaén.
¿Qué se modifica en la Decisión BCE/2001/15 según el artículo 1 de la decisión mencionada?,Se modifica la clave de asignación de billetes a partir del 1 de enero de 2008.
¿Qué se implanta mediante la Orden mencionada en el texto?,Se implanta el Sistema Integrado de Facturación de Energía Eléctrica y se aprueban nuevas Tarifas Tope de Estructura Binomia.
¿Qué modificaciones se realizan en el Reglamento (CEE) nº 2191/81 y en el Reglamento (CEE) nº 2192/81 según el Reglamento (CEE) nº 1365/85 de la Comisión?,"Se sustituye el importe de la ayuda para la mantequilla de '157 ECUS' por '150,5 ECUS' en ambos reglamentos."
¿Cuál es el objetivo del Reglamento (CEE) nº 4141/87 de la Comisión?,"El objetivo es determinar las condiciones de admisión de productos destinados a ciertas categorías de aeronaves o buques a los beneficios de un régimen arancelario de importación favorable, en razón de su destino especial."
¿Cuál es el objeto de la Resolución mencionada en el texto?,El objeto de la Resolución es aprobar un modelo oficial de solicitud-certificación para el Registro General de Sociedades Mercantiles.
¿Qué medida se prorroga en el Decreto-ley mencionado?,"Se prorroga la exención parcial en el pago al Tesoro de la Contribución Territorial Rústica y Pecuaria a las fincas dedicadas a la cría, recría y cebado de ganado de cerda durante el año 1966."
¿Qué trata el Decreto 1378/1972 del BOE del 10 de mayo?,El Decreto trata sobre la integración de las Escuelas Profesionales de Comercio en la Universidad como Escuelas Universitarias de Estudios Empresariales.
¿Qué institución ordena la publicación de la modificación del plan de estudios conducente a la titulación de Maestro-Especialidad de Lengua Extranjera en la Escuela Universitaria de Magisterio de San Sebastián?,La Universidad del País Vasco ordena la publicación de la modificación del plan de estudios.
¿Qué se contempla en los contingentes arancelarios según el texto?,"Se contempla la posibilidad de importar animales vivos o carne, para lo cual se precisa un coeficiente de conversión."
¿Cuál es el objetivo de la Orden de 19 de octubre de 1994 mencionada en el texto?,El objetivo de la Orden de 19 de octubre de 1994 es actualizar el importe máximo de la aportación de los beneficiarios de la Seguridad Social en la dispensación de las especialidades farmacéuticas clasificadas en los grupos o subgrupos terapéuticos incluidos en el anexo II del Real Decreto 83/1993.
¿Cuál es el objetivo de la corrección de errores de la Orden de 1 de abril de 1967 sobre la reorganización de los Servicios de la Dirección General de Presupuestos?,El objetivo de la corrección de errores es subsanar posibles equivocaciones o erratas en la Orden de reorganización de los Servicios de la Dirección General de Presupuestos del 1 de abril de 1967.
"¿Quiénes pueden formar parte del 50 por ciento de los vocales en Capitanes, Jefes y Oficiales de la Marina Mercante Española según el texto?","Los Capitanes, Jefes y Oficiales de la Marina Mercante Española que presten sus servicios en la mar a bordo de los buques."
¿Qué organismo ha verificado positivamente la propuesta de enseñanzas de Grado presentada por la Universidad del País Vasco/Euskal Herriko Unibertsitatea?,El Consejo de Universidades del Ministerio de Educación ha verificado positivamente la propuesta de enseñanzas de Grado presentada por la Universidad del País Vasco/Euskal Herriko Unibertsitatea.
¿Cuál es el objetivo de la corrección de erratas del Decreto-Ley 14/1962?,El objetivo de la corrección de erratas del Decreto-Ley 14/1962 es corregir errores o erratas en el número 15 del artículo 10 de la Ley de Régimen Jurídico de la Administración del Estado.
¿Qué se modificó mediante la Orden de 12 de mayo de 1980?,Se modificó el plan de estudios de la sección de Químicas de la Facultad de Ciencias de la Universidad de Zaragoza.
¿Cuál es el propósito principal del Decreto 498/1963 mencionado en el texto?,"El propósito principal es la creación de Tribunales Médicos para dictaminar expedientes sobre peticiones de ayuda a enfermos inválidos y desvalidos, así como determinar que los informes médicos requeridos serán gratuitos."
¿Qué se establece en el Reglamento (CE) nº 1493/1999 del Consejo en relación al potencial de producción vitícola?,"En el Reglamento (CE) nº 1493/1999 del Consejo se contempla la presentación de un inventario del potencial vitícola como paso previo a medidas como la regularización de superficies plantadas ilegalmente, el aumento de los derechos de plantación y la ayuda en favor de la reestructuración y reconversión."
"¿Qué se corrige en la Orden PRA/375/2018, de 11 de abril, según el fragmento de texto proporcionado?","Se corrige un error en el anexo IV del Reglamento General de Conductores, aprobado por Real Decreto 818/2009, de 8 de mayo."
¿Cuál es el objetivo de la corrección de errores publicada en el BOE-A-2016-5900?,El objetivo de la corrección de errores es rectificar una información incorrecta en las Enmiendas de 2012 al Protocolo de 1988 relativo al Convenio Internacional para la Seguridad de la Vida Humana en el Mar.
¿Qué fecha se establece como la entrada en vigor de la disposición analizada?,"La fecha de entrada en vigor es el 20 de abril de 2002, si se cumple lo indicado."
¿Qué se modifica según la Orden de 28 de septiembre de 1972?,Se modifica la Orden de 9 de junio de 1972 sobre clasificación de Juzgados.
"¿Qué error se corrige en la Resolución de 7 de mayo de 2010, de la Dirección General de Trabajo?","Se corrige un error en el número de horas ordinarias de trabajo para los años 2009, 2010 y 2011 en el Convenio colectivo para la industria de alimentos compuestos para animales."
¿Cuál es el tema principal del documento BOE-A-1974-1866?,"El tema principal del documento es sobre las diferencias comunicadas por el Gobierno español al Convenio para facilitar el tráfico marítimo internacional, hecho en Londres el día 9 de abril de 1965."
¿Qué materias o temas se mencionan en el texto proporcionado?,"Se mencionan materias como alojamientos turísticos, Consejo Superior de Deportes, cultura, deporte, educación física, Extremadura, Instituto de la Juventud y Promoción Comunitaria, Institutos Nacionales de Educación Física, juventud, menores, Ministerio de Cultura, mujer, regímenes preautonómicos y tercera edad."
¿Cuál es el objeto de la corrección de erratas del Convenio número 10 de la CIEC?,"El objeto de la corrección de erratas es el Convenio número 10 de la CIEC, relativo a la constatación de ciertas defunciones, concluido en Atenas el 14 de septiembre de 1966."
¿Qué se autoriza al Presidente del Consejo a hacer según el Artículo 2 del texto?,Se autoriza al Presidente del Consejo a designar a la persona facultada para firmar el Acuerdo a fin de obligar a la Unión Europea.
¿Qué asignaturas son obligatorias en cuarto curso de la carrera de Comunicación Audiovisual?,"Las asignaturas obligatorias en cuarto curso son: Análisis fílmico y narrativa audiovisual, Guión en otros medios audiovisuales, Seminario de desarrollo de competencias III y Trabajo Fin de Grado."
¿Qué sucederá con aquellas Entidades locales que mantienen convenios de encomienda de servicios con el Canal de Isabel II pero no han suscrito el convenio de incorporación al modelo de gestión de Canal de Isabel II?,"Recibirán temporalmente una cantidad anual por habitante fijada por el Consejo de Gobierno, sin exceder lo que percibirían de participar en la Sociedad, hasta que se resuelva y liquide el convenio de encomienda de servicios vigente."
