question,answer
¿Qué requisitos deben cumplir las solicitudes de modificaciones justificadas del proyecto o estudio objeto de la ayuda concedida?,"Las solicitudes de modificaciones justificadas deben suponer variación del importe de la inversión aprobada, de sus conceptos, del cumplimiento de los plazos aprobados para la realización del mismo o de sus fases."
¿Qué disposiciones deben incluirse en el Reglamento Delegado (UE) 2015/98 según el texto?,Deben incluirse nuevas disposiciones que reflejen las condiciones de pesca establecidas en la recomendación 16-05 de la CICAA.
¿Qué se menciona en las conclusiones del Consejo Europeo de Barcelona de marzo de 2002 en relación a las redes de energía y transporte?,"Se menciona que unas redes de energía y de transportes potentes e integradas constituyen la columna vertebral del mercado interior europeo, permitiendo aumentar la eficiencia, competitividad, calidad, reducir la congestión y reforzar la sostenibilidad a largo plazo."
¿Qué ley regula los costes de personal de las Universidades de titularidad pública en la Comunidad Autónoma de Andalucía?,"Los costes de personal de las Universidades de titularidad pública en la Comunidad Autónoma de Andalucía están regulados por la Ley Orgánica 6/2001, de 21 de diciembre, de Universidades."
¿Qué medidas se deben prever en caso de fallo del equipo o corte de corriente eléctrica en el área de almacenamiento?,Se deben prever medidas adecuadas en caso de fallo del equipo o corte de la corriente eléctrica en la instalación principal del área de almacenamiento.
¿Qué deben hacer los centros docentes públicos y privados de acuerdo con el artículo 8?,Deben elaborar un Plan de convivencia y establecer normas de convivencia en su reglamento de régimen interior.
¿Cuál es el coste efectivo que se eleva de forma definitiva a 267.708 miles de pesetas según la liquidación de presupuesto de gastos para 1982?,El coste efectivo que se eleva de forma definitiva a 267.708 miles de pesetas según la liquidación de presupuesto de gastos para 1982 es el correspondiente a los servicios traspasados a la Comunidad Autónoma.
¿Cuál es la fecha de disposición de la Decisión analizada?,La fecha de disposición de la Decisión analizada es el 25/10/2011.
¿Qué se consideran las denominaciones de variedades de semillas y plantas de vivero inscritas en el Registro de Variedades Comerciales?,"Se consideran designaciones genéricas de las respectivas variedades, careciendo de disponibilidad para su registro como marcas cuando pretenden distinguir productos idénticos o similares en el sentido de la legislación."
¿Qué organismo adscrito al Ministerio de Cultura considera necesaria la utilización del registro telemático de este Departamento?,La Gerencia de Infraestructuras y Equipamientos de Cultura considera necesaria la utilización del registro telemático del Ministerio de Cultura.
¿Cuándo entrará en vigor el presente Real Decreto según el artículo sexto?,El presente Real Decreto entrará en vigor al día siguiente de su publicación en el «Boletín Oficial del Estado».
¿Qué se establece en el artículo 19 sobre los días 24 y 31 de diciembre?,Se establece que los días 24 y 31 de diciembre son considerados festivos no recuperables.
¿Qué tipo de sistemas de iluminación se mencionan como alternativa a las bombillas incandescentes tradicionales en el texto?,"Se mencionan sistemas de iluminación de bajo consumo, como las bombillas o lámparas de tipo 'LED' u otras similares."
¿Qué elementos deben tener en cuenta las empresas aéreas designadas al establecer las tarifas según el Artículo VII?,"Las empresas aéreas designadas deben tener en cuenta elementos como el coste de explotación, las necesidades de los usuarios, un beneficio razonable y las tarifas aplicadas por otras empresas de transporte aéreo."
¿Qué modificación se realizó en el plan de estudios de Licenciado en Historia según la Resolución de la Universidad de Huelva?,La modificación afecta a la ampliación de la vinculación a áreas de conocimiento de la asignatura optativa 'Documentos para la Historia de Grecia y Roma'.
¿Cómo se compensarán las pérdidas efectivas de recaudación en el Arbitrio sobre la Producción e Importación de mercancías en Ceuta y Melilla durante los ejercicios 1996 y 1997?,"Las pérdidas efectivas de recaudación en el Arbitrio sobre la Producción e Importación de mercancías en Ceuta y Melilla durante los ejercicios 1996 y 1997 serán compensadas con cargo a los Presupuestos Generales del Estado para 1997 y 1998, en su caso, mediante la habilitación del correspondiente crédito."
"¿Qué deben aportar los beneficiarios, salvo en ciertos casos, previamente al pago de la ayuda anticipada?",Deben aportar el resguardo de constitución de una garantía en la Caja General de Depósitos por el importe total de la ayuda anticipada.
¿Qué principios de buena regulación se mencionan en el texto y cómo se ajusta el presente real decreto a ellos?,"Se mencionan los principios de necesidad, eficacia, proporcionalidad, seguridad jurídica, transparencia y eficiencia. El presente real decreto se ajusta a estos principios al contribuir a la mejor prestación de servicios del Centro Español de Metrología a la sociedad, mejorar sus resultados, cumplir el mandato establecido en la Ley 39/2015, ser coherente con el ordenamiento jurídico y permitir una gestión más eficiente de los recursos públicos."
¿Qué Ministerios están autorizados para dictar disposiciones según el Real Decreto?,Los Ministerios de la Gobernación y de Trabajo están autorizados para dictar las disposiciones necesarias.
