question,answer
¿Cuándo entró en vigor el presente Reglamento?,"El presente Reglamento entró en vigor el día de su publicación en el Diario Oficial de las Comunidades Europeas, el 12 de enero de 2000."
¿Qué se establece respecto a la regularización de posibles diferencias en la financiación de los servicios transferidos durante el periodo transitorio?,Se establece que las posibles diferencias en la financiación de los servicios transferidos serán objeto de regularización al cierre de cada ejercicio económico mediante la presentación de cuentas y estados justificativos ante una Comisión de Liquidación en el Ministerio de Economía y Hacienda.
¿Qué tipo de materias se mencionan en el texto?,"Se mencionan materias como almacenes, gestión de residuos, industria extractiva, políticas de medio ambiente, residuos y sustancias peligrosas."
¿Qué regula el artículo primero de acuerdo con el texto proporcionado?,El artículo primero regula el objeto y ámbito de aplicación.
¿Qué principios establece la Directiva 97/78/CE del Consejo en relación con los controles veterinarios de productos procedentes de países terceros?,La Directiva establece los principios relativos a la organización de controles veterinarios de los productos que se introduzcan en la Comunidad procedentes de países terceros.
¿Qué requisito deben cumplir las ofertas presentadas en el ámbito de la licitación abierta según el texto?,Las ofertas presentadas no deben ir acompañadas de solicitudes de certificado de exportación.
¿Por qué es necesario establecer normas comunitarias relativas a la calidad de las aguas destinadas al consumo humano?,"Es necesario establecer normas comunitarias para definir los objetivos mínimos de calidad del medio ambiente, mantener el uso sostenible de las aguas y garantizar la salud humana."
¿Qué factores se evalúan en el examen de los efectos de las importaciones subvencionadas sobre la industria de la Comunidad?,"Se evalúan factores como la disminución de ventas, beneficios, volumen de producción, cuota de mercado, productividad, rendimiento de inversiones, entre otros."
¿Qué modificaciones se realizan en el Protocolo 31 del Acuerdo según el artículo 1 de la Decisión?,"Se sustituyen los años 2009 por 2010 en los apartados 6, 7 y 8 del artículo 7 del Protocolo 31 del Acuerdo."
¿Cuál es la fecha de entrada en vigor del presente Reglamento?,"El presente Reglamento entrará en vigor el día de su publicación en el Diario Oficial de las Comunidades Europeas, es decir, el 11 de mayo de 1990."
¿Cuándo entrará en vigor la presente Decisión?,"La presente Decisión entrará en vigor el 14 de julio de 2012, siempre que se hayan transmitido al Comité Mixto del EEE todas las notificaciones previstas en el artículo 103, apartado 1, del Acuerdo EEE."
¿Qué se homologa en el artículo 1 de este real decreto?,"Se homologa el título de Licenciado en Ciencias del Trabajo, de sólo segundo ciclo, de la Facultad de Ciencias Sociales y Jurídicas de la Universidad de Jaén."
¿Qué país publicó una 'Hoja de ruta para continuar el proceso de convergencia de las normas contables para empresas mercantiles con las NIIF' en abril de 2010?,China publicó la 'Hoja de ruta para continuar el proceso de convergencia de las normas contables para empresas mercantiles con las NIIF' en abril de 2010.
¿Qué funciones relacionadas se traspasan a la Región de Murcia según el texto?,Se traspasan los servicios del INIA que se especifican en la relación correspondiente.
¿A partir de qué fecha se establecen los precios de venta al público en el ámbito del monopolio de petróleos?,A partir de las cero horas del día 1 de julio de 1989.
¿Qué modifica el Reglamento (UE) nº 183/2013 de la Comisión?,Modifica el Reglamento (CE) nº 1126/2008 en lo relativo a la Norma Internacional de Información Financiera 1.
¿Qué establece el artículo 1 de la Decisión en relación a la contribución financiera de Hungría al programa Sócrates II?,"El artículo 1 establece que la contribución financiera de Hungría al programa Sócrates II en los años 2001-2006 será progresivamente mayor, comenzando en 5 430 000 euros en el año 2001 y llegando a 6 278 000 euros en el año 2006."
¿Qué aspectos consideran las autoridades competentes al decidir si una modificación de la explotación tiene consecuencias para el medio ambiente o para las personas?,Las autoridades consideran si la modificación pudiera tener repercusiones perjudiciales o importantes en el medio ambiente o en las personas.
¿Cuál es la duración máxima de la excedencia por cuidado de familiares para atender al cuidado de cada hijo?,"La duración máxima es de tres años para atender al cuidado de cada hijo, ya sea por naturaleza, adopción o acogimiento."
